lower,upper,rmd
664613997892457936451903530140172288,1329227995784915872903807060280344575,4b46e10a541aeec6be3fac709c256fb7da69308e
1329227995784915872903807060280344576,2658455991569831745807614120560689151,a6e4818537e42f7b3f021daa810367dad4dda16f
2658455991569831745807614120560689152,5316911983139663491615228241121378303,e263b62ea294b9650615a13b926e75944c823990
5316911983139663491615228241121378304,10633823966279326983230456482242756607,7fa4515066ba6905f894b2078f9af7b1379169cf
10633823966279326983230456482242756608,21267647932558653966460912964485513215,75f74467ce7214f1767406d5ed12012aa523c48e
21267647932558653966460912964485513216,42535295865117307932921825928971026431,f7079256aa027dc437cbb539f955472416725fc8
42535295865117307932921825928971026432,85070591730234615865843651857942052863,683ea8a1ef06eada90556017d44323b5c04e00f1
85070591730234615865843651857942052864,170141183460469231731687303715884105727,a58708aa98ad35c889bb36d8049bf9e9cacfd02a
170141183460469231731687303715884105728,340282366920938463463374607431768211455,e170ef514689d7230da362a0c121a07723550512
340282366920938463463374607431768211456,680564733841876926926749214863536422911,ba4c2748360a6b66263e11d1dc8658463ca5ff18
680564733841876926926749214863536422912,1361129467683753853853498429727072845823,a24922852051a9002ebf4c864a55acb75bb4cf75
1361129467683753853853498429727072845824,2722258935367507707706996859454145691647,41b4b36a6c036568972380177eca2916cacd71de
2722258935367507707706996859454145691648,5444517870735015415413993718908291383295,cecd3ca4319651bd3afd1e23ab66e111ed38d16d
5444517870735015415413993718908291383296,10889035741470030830827987437816582766591,014e15e4ea6da460cc7835e262676baa37988e4f
10889035741470030830827987437816582766592,21778071482940061661655974875633165533183,17a5ebfaf62e73f149e33ba674836801f13a80b9
21778071482940061661655974875633165533184,43556142965880123323311949751266331066367,3b6f58a75a54bfd85d1bc6c51180fdc732992326
43556142965880123323311949751266331066368,87112285931760246646623899502532662132735,05257be4b57ee43fc09762d5d3a9ad4a6e1a0364
87112285931760246646623899502532662132736,174224571863520493293247799005065324265471,3482f8986e13c018692053a784481c63a3554c9c
174224571863520493293247799005065324265472,348449143727040986586495598010130648530943,692a8e583866fc9056f5c61a45969fb9d868a08c
348449143727040986586495598010130648530944,696898287454081973172991196020261297061887,a45dae9cd5d3fde21e5aa9a95367d107267b3b8a
696898287454081973172991196020261297061888,1393796574908163946345982392040522594123775,ffbb35a7bb9bbe16c1aa2534f7ff11d59c8e3d1a
1393796574908163946345982392040522594123776,2787593149816327892691964784081045188247551,7af50f73fd580f1713af3a6f9c5de49643ec6fc6
2787593149816327892691964784081045188247552,5575186299632655785383929568162090376495103,2fcea55e6d027a2ba7c7ebe95eedf47766730fe2
5575186299632655785383929568162090376495104,11150372599265311570767859136324180752990207,19ed3e03d19ddcedd5fa86543be820b3a7951650
11150372599265311570767859136324180752990208,22300745198530623141535718272648361505980415,ed87120066e244ff5331d5f8625873d7a3acc39c
22300745198530623141535718272648361505980416,44601490397061246283071436545296723011960831,5abf369388deb8072741b4eb43ef10fa9388a729
44601490397061246283071436545296723011960832,89202980794122492566142873090593446023921663,dca7ebfb78ce21884300f133d89244bc4b1b756f
89202980794122492566142873090593446023921664,178405961588244985132285746181186892047843327,5318b9d7fcc93873f768725eb68ba2c924bb07ee
178405961588244985132285746181186892047843328,356811923176489970264571492362373784095686655,a3e3612e586fd206efb8eee6ccd58318e182829a
356811923176489970264571492362373784095686656,713623846352979940529142984724747568191373311,7e827e3b90da24c2a15f7b67e3bbece39955a5d0
